File_name   Scan_number     r_wp  scale_total scale_LFP    lp1_a       lp1_b       lp1_c       rbragg_1     wp_1     lp2_a        lp2_b        lp2_c        rbragg_2     wp_2
scan-0116_TT_00000.xy  00000     61.36507 -0.000000019170     0.21733    10.98067     6.40526     4.84335   100.00000 -8955474882670.43360    10.15506     6.40140     4.85951   100.00000 -28592703624029.41800
scan-0116_TT_00001.xy  00001     59.27157 -0.000000003629     1.13955    10.46618     6.20319     4.56491   100.00000 -7733855096665.85350     9.87530     5.96207     4.82968    60.55671 868709869378.24329
scan-0116_TT_00002.xy  00002     48.96404 -0.000000000127    -8.02171    10.20302     5.98008     4.71688    53.11241 1849980183341.57520     9.67477     5.88168     4.75376   100.00000 -1869548690932.00760
scan-0116_TT_00003.xy  00003     27.66105 0.000000000290    30.78717    10.20532     5.94993     4.74910    17.27860  1269.11909    10.20378     5.93532     4.74224   100.00000 -1169.11909
scan-0116_TT_00004.xy  00004      9.47278 0.000000000542    13.69233    10.20003     5.95944     4.71270     4.55174   866.54083    10.19363     5.94917     4.71535   100.00000  -766.54083
scan-0116_TT_00005.xy  00005      5.77800 0.000000001124     6.75123    10.20128     5.95021     4.71171     2.53666   535.90561    10.19321     5.94101     4.71696   100.00000  -435.90561
scan-0116_TT_00006.xy  00006      6.22856 0.000000000483     1.63767    10.31476     5.97992     4.73087     3.41625   154.44960     9.94051     5.80299     4.79087   100.00000   -54.44960
scan-0116_TT_00007.xy  00007      5.58296 0.000000000523     1.78010    10.30800     5.96470     4.71104     3.05585   166.41998     9.86180     5.81018     4.81574   100.00000   -66.41998
scan-0116_TT_00008.xy  00008      4.48230 0.000000011772     1.07676    12.69604     4.69846     5.19317     1.30824   106.34440     9.74229     5.81522     4.78638   100.00000    -6.34440
scan-0116_TT_00009.xy  00009      5.48612 0.000000000489     1.38358    10.30389     5.97604     4.72144     3.19790   132.51067     9.74227     5.93878     4.65150   100.00000   -32.51067
scan-0116_TT_00010.xy  00010      5.63292 0.000000004866     1.23120    11.36401     5.15753     4.72246     2.54127   121.62614     9.78097     5.81437     4.82049   100.00000   -21.62614
scan-0116_TT_00011.xy  00011      5.48496 0.000000000203    -1.15132    10.06942     6.13776     4.58964   100.00000  -146.39294     9.79513     5.56446     4.90343     3.62921   246.39294
scan-0116_TT_00012.xy  00012      4.72153 0.000000001708    26.46822    10.48989     5.77266     5.25743     0.83548  1068.98465    10.46664     5.78808     5.17835   100.00000  -968.98465
scan-0116_TT_00013.xy  00013      6.22548 0.000000000397     1.24145    10.33751     5.97966     4.72750     3.76615   121.65819    10.04246     5.90918     4.71505   100.00000   -21.65819
scan-0116_TT_00014.xy  00014      6.23069 0.000000000554     0.85701    10.34173     5.99209     4.72880     3.62224    87.09212     9.91098     5.85177     4.69478     4.31197    12.90788
scan-0116_TT_00015.xy  00015      6.18130 0.000000000557     1.12453    10.32423     5.98696     4.73065     3.65462   110.56926     9.80300     5.80690     4.63782   100.00000   -10.56926
scan-0116_TT_00016.xy  00016      6.12901 0.000000000421     0.68026    10.34656     5.97198     4.69721     3.66528    70.77330     9.99853     5.65666     4.71616     4.48715    29.22670
scan-0116_TT_00017.xy  00017      6.16040 0.000000000491     0.73380    10.34664     5.98254     4.71525     3.73125    75.92150     9.98319     5.67283     4.71307     4.16147    24.07850
scan-0116_TT_00018.xy  00018      5.36809 0.000000000168     4.02931    10.30182     5.97272     4.74107     2.78676   310.60552     9.89821     5.78346     4.80736   100.00000  -210.60552
scan-0116_TT_00019.xy  00019      4.92308 0.000000000748     9.25295     9.87849     5.77544     4.78067     2.11572   681.68895     9.85742     5.78255     4.78849   100.00000  -581.68895
scan-0116_TT_00020.xy  00020      4.41046 0.000000001195    24.19773    10.40621     6.35991     4.79885     0.84051  1439.65641    10.13025     6.54387     4.86442   100.00000 -1339.65641
scan-0116_TT_00021.xy  00021      5.60450 0.000000000619     1.97956    10.28389     5.95538     4.72168     3.13342   183.94211     9.88589     5.91525     4.77036   100.00000   -83.94211
scan-0116_TT_00022.xy  00022      5.55800 0.000000000685     1.47366    10.33737     5.97699     4.71881     3.00350   141.11236     9.96673     5.78824     4.79188   100.00000   -41.11236
