# time [h]	voltage [V]
0.00000000	3.10050000
0.00083333	3.06330000
0.00222222	3.00340000
0.00361111	2.94700000
0.00500000	2.90580000
0.00638889	2.85310000
0.00777778	2.80280000
0.00916667	2.75570000
0.01055556	2.71170000
0.01194444	2.67140000
0.01333333	2.63510000
0.01472222	2.60470000
0.01611111	2.58090000
0.01750000	2.56230000
0.01888889	2.54830000
0.02027778	2.53990000
0.02166667	2.53000000
0.02305556	2.52200000
0.02444444	2.51420000
0.02583333	2.50740000
0.02722222	2.50120000
0.02861111	2.49530000
0.03000000	2.48940000
0.03138889	2.48440000
0.03277778	2.47950000
0.03416667	2.47510000
0.03555556	2.47170000
0.03694444	2.46800000
0.03833333	2.46430000
0.03972222	2.46120000
0.04111111	2.45810000
0.04250000	2.45500000
0.04388889	2.45160000
0.04527778	2.44910000
0.04666667	2.44630000
0.04805556	2.44380000
0.04944444	2.44170000
0.05083333	2.43980000
0.05222222	2.43730000
0.05361111	2.43520000
0.05500000	2.43300000
0.05638889	2.43050000
0.05777778	2.42830000
0.05916667	2.42650000
0.06055556	2.42430000
0.06194444	2.42240000
0.06333333	2.42030000
0.06472222	2.41840000
0.06611111	2.41720000
0.06750000	2.41530000
0.06888889	2.41350000
0.07027778	2.41160000
0.07166667	2.40940000
0.07305556	2.40760000
0.07444444	2.40570000
0.07583333	2.40380000
0.07722222	2.40200000
0.07861111	2.40010000
0.08000000	2.39860000
0.08138889	2.39700000
0.08277778	2.39550000
0.08416667	2.39360000
0.08555556	2.39210000
0.08694444	2.38990000
0.08833333	2.38830000
0.08972222	2.38650000
0.09111111	2.38490000
0.09250000	2.38310000
0.09388889	2.38120000
0.09527778	2.37970000
0.09666667	2.37780000
0.09805556	2.37630000
0.09944444	2.37440000
0.10083333	2.37280000
0.10222222	2.37130000
0.10361111	2.36940000
0.10500000	2.36790000
0.10638889	2.36600000
0.10777778	2.36450000
0.10916667	2.36260000
0.11055556	2.36110000
0.11194444	2.35920000
0.11333333	2.35770000
0.11472222	2.35610000
0.11611111	2.35420000
0.11750000	2.35270000
0.11888889	2.35080000
0.12027778	2.34930000
0.12166667	2.34770000
0.12305556	2.34590000
0.12444444	2.34400000
0.12583333	2.34250000
0.12722222	2.34060000
0.12861111	2.33900000
0.13000000	2.33780000
0.13138889	2.33590000
0.13277778	2.33410000
0.13416667	2.33250000
0.13555556	2.33100000
0.13694444	2.32910000
0.13833333	2.33280000
0.13972222	2.32910000
0.14111111	2.32630000
0.14250000	2.32420000
0.14388889	2.32260000
0.14527778	2.31700000
0.14666667	2.32200000
0.14805556	2.35700000
0.14944444	2.35830000
0.15083333	2.35890000
0.15222222	2.35890000
0.15361111	2.35920000
