# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  5.250000e-03             0
  1.575000e-02             0
  2.625000e-02             0
  3.675000e-02             0
  4.725000e-02             0
  5.775000e-02             0
  6.825000e-02             0
  7.875000e-02             0
  8.925000e-02             0
  9.975000e-02             0
  1.102500e-01             0
  1.207500e-01             0
  1.312500e-01             0
  1.417500e-01             0
  1.522500e-01             0
  1.627500e-01             0
  1.732500e-01             0
  1.837500e-01             0
  1.942500e-01             0
  2.047500e-01             0
  2.152500e-01             0
  2.257500e-01             0
  2.362500e-01             0
  2.467500e-01             0
  2.572500e-01             0
  2.677500e-01             0
  2.782500e-01             0
  2.887500e-01             0
  2.992500e-01             0
  3.097500e-01             0
  3.202500e-01             0
  3.307500e-01             0
  3.412500e-01             0
  3.517500e-01             0
  3.622500e-01             0
  3.727500e-01             0
  3.832500e-01             0
  3.937500e-01             0
  4.042500e-01             0
  4.147500e-01             0
  4.252500e-01             0
  4.357500e-01             0
  4.462500e-01             0
  4.567500e-01             0
  4.672500e-01             0
  4.777500e-01             0
  4.882500e-01             0
  4.987500e-01             0
  5.092500e-01             0
  5.197500e-01             0
  5.302500e-01             0
  5.407500e-01             0
  5.512500e-01             0
  5.617500e-01             0
  5.722500e-01             0
  5.827500e-01             0
  5.932500e-01             0
  6.037500e-01             0
  6.142500e-01             0
  6.247500e-01             0
  6.352500e-01             0
  6.457500e-01             0
  6.562500e-01             0
  6.667500e-01             0
  6.772500e-01             0
  6.877500e-01             0
  6.982500e-01             0
  7.087500e-01             0
  7.192500e-01             0
  7.297500e-01             0
  7.402500e-01             0
  7.507500e-01             0
  7.612500e-01             0
  7.717500e-01             0
  7.822500e-01             0
  7.927500e-01             0
  8.032500e-01             0
  8.137500e-01             0
  8.242500e-01             0
  8.347500e-01             0
  8.452500e-01             0
  8.557500e-01             0
  8.662500e-01             0
  8.767500e-01             0
  8.872500e-01             0
  8.977500e-01             0
  9.082500e-01             0
  9.187500e-01             0
  9.292500e-01             0
  9.397500e-01             0
  9.502500e-01             0
  9.607500e-01             0
  9.712500e-01             0
  9.817500e-01             0
  9.922500e-01             0
  1.002750e+00             0
  1.013250e+00             0
  1.023750e+00             0
  1.034250e+00             0
